DATE 	 ESTIMATED value 	 ACTUAL value
15/02/2013	0,75239950558354	0,76
18/02/2013	0,751847790558579	0,76
19/02/2013	0,750756913509994	0,7595
20/02/2013	0,748972045944753	0,7585
21/02/2013	0,749802114594127	0,756
22/02/2013	0,747001279205669	0,7555
25/02/2013	0,747593670515467	0,7545
26/02/2013	0,747263357846892	0,7525
27/02/2013	0,746275737139934	0,7525
28/02/2013	0,743978434708359	0,7515
01/03/2013	0,74363215161982	0,7495
04/03/2013	0,742596685264327	0,745
05/03/2013	0,740774846315402	0,743
06/03/2013	0,740938002634375	0,7385
07/03/2013	0,739992134683999	0,7365
08/03/2013	0,738099943736588	0,7335
11/03/2013	0,733168046719202	0,733
12/03/2013	0,731063649999363	0,7305
13/03/2013	0,726538580281666	0,73
14/03/2013	0,724396805794706	0,729
15/03/2013	0,721182379936774	0,731
18/03/2013	0,720899774270155	0,7315
19/03/2013	0,718505525091102	0,735
20/03/2013	0,717892960951953	0,737
21/03/2013	0,717171585582839	0,7355
22/03/2013	0,719639493495954	0,7375
25/03/2013	0,720187258952388	0,731
26/03/2013	0,724476327814414	0,7325
27/03/2013	0,726924376574611	0,7315
28/03/2013	0,725562363729535	0,7315
29/03/2013	0,727845802841131	0,726396015153423
01/04/2013	0,720937084909711	0,725320872922554
02/04/2013	0,722833278851726	0,728
03/04/2013	0,721856195493717	0,725
04/04/2013	0,721793290088269	0,723
05/04/2013	0,71660210093233	0,721
08/04/2013	0,71539083475734	0,721
09/04/2013	0,718742464323582	0,721
10/04/2013	0,715500430918199	0,721
11/04/2013	0,713511746744165	0,72
12/04/2013	0,711553325816091	0,719
15/04/2013	0,711723438864235	0,719
16/04/2013	0,712100456274084	0,7175
17/04/2013	0,711834825437768	0,715
18/04/2013	0,71091740674496	0,715
19/04/2013	0,710122795623454	0,715
22/04/2013	0,710384218935663	0,7155
23/04/2013	0,708793244637119	0,711
24/04/2013	0,706135892219946	0,712
25/04/2013	0,706380817171631	0,711
26/04/2013	0,706472727681582	0,7105
29/04/2013	0,70715958935913	0,7085
30/04/2013	0,702495374902513	0,7045
01/05/2013	0,703594192043721	0,704
02/05/2013	0,702767290248787	0,7031
03/05/2013	0,702459364228733	0,7021
06/05/2013	0,700468425758533	0,701837784749093
07/05/2013	0,696460346767648	0,7031
08/05/2013	0,695796390544468	0,7031
09/05/2013	0,694981926640773	0,7021
10/05/2013	0,694220256894061	0,7011
13/05/2013	0,694123663706665	0,7011
14/05/2013	0,695640320575984	0,6951
15/05/2013	0,695826868718473	0,68989
